Geneid,dimA_light_mean_rpm,wt_light_mean_rpm,pvals,log2_FC,-log10_pval
PA14_70420,142.64913541154462,148.93917833765445,0.5632920646704228,-0.062252300113125936,0.24926636680853678
PA14_70430,121.96651038682502,88.61227178541657,0.02372147705732995,0.46090664448949004,1.6248582723956293
PA14_70440,64.63812506690505,56.44189191664143,0.011996638079936808,0.1956189981173266,1.9209404429437025
PA14_70450,113.2101339557676,134.8573608944329,0.1265418360791225,-0.2524311605060461,0.8977658683655201
PA14_70470,343.3039924309781,344.44637500583696,0.9480398449090115,-0.004792759877270091,0.023173409433590846
PA14_70480,340.68501728169804,362.2005681164885,0.18748164925755462,-0.0883503070783063,0.7270412346893528
PA14_70490,171.77442199198018,164.73816929686964,0.05078036471934445,0.06034036635648241,1.2943041842218492
PA14_70510,6.650447037096548,4.674951844645192,0.08009515070894188,0.5084996636191654,1.0963937771005312
PA14_70530,57.44340916318638,48.760814112152865,0.2792010854847207,0.23641915217236906,0.5540828975850226
PA14_70550,202.30771085770058,207.6484824529159,0.5975793512964817,-0.03759201937184508,0.22360441750612456
PA14_70560,291.40352057988383,271.32180515963745,0.4299287368432367,0.10301331025824915,0.36660352525903456
PA14_70570,272.64087486102954,225.65095104486326,0.04491600683934406,0.272909009176627,1.347598860708085
PA14_70580,183.36728435107568,142.30597624931045,0.024019224132334264,0.3657400080721211,1.6194410252631715
PA14_70590,35.88891861481118,32.02958502649267,0.01327666392693329,0.16413333849119258,1.876911037930059
PA14_70600,214.73672643755313,243.03130937851358,0.2180181687593527,-0.17857322832078967,0.6615073125278005
PA14_70620,229.4661353635714,253.95027365851334,0.17731356526032724,-0.14626477134173577,0.7512580377079134
PA14_70630,35.76682893984333,45.08886496350914,0.04411080142809713,-0.3341489633749205,1.3554550516607589
PA14_70640,34.81535112503729,54.12548194731539,0.05023434969062354,-0.6365843678473608,1.2989992155324859
PA14_70650,5.889479910173702,2.621042511322379,0.03224784872256318,1.167998975853684,1.49149925216306
PA14_70670,24.386174240718272,15.62446075354191,0.046226278716890494,0.6422569883672589,1.3351110664963513
PA14_70680,18.839440271480544,10.396938274007724,0.009490254326306872,0.8575972577728761,2.022722148897083
PA14_70690,178.32279653284908,87.79319759962503,0.0057789457208659864,1.0223100667671876,2.2381513846544148
PA14_70710,33.723722140940005,25.66994437992737,0.048276704487513256,0.3936835852961768,1.3162623838053575
PA14_70720,69.81092469997687,67.82996986308547,0.8500744601727754,0.04152996838347647,0.07054303166706181
PA14_70730,35.506748997350094,35.40762167441887,0.9806183784275113,0.004033331531677748,0.008499971609054267
PA14_70740,111.84033263273905,87.95156776787799,0.11666594357909435,0.34665935123638186,0.9330559020886648
PA14_70750,31.961033599934336,28.24856514207843,0.046085971962676525,0.17813646588067486,1.3364312487170806
PA14_70760,24.56224800034415,16.913143976602868,0.0020590899348559995,0.5382976950943329,2.686324684290805
