Geneid,bphP_light_mean_rpm,wt_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_54540,429.5409425139666,307.50351612817985,0.1840579221757348,0.48219274285995684,0.7350454850189367
PA14_54550,72.42927382154063,61.79756545271413,0.6751776684997635,0.22902290388732194,0.170581930434107
PA14_54570,305.56240472009614,196.56719074775705,0.18235780183366102,0.6364445078297002,0.7390756514846896
PA14_54580,94.85269290096876,66.67312961842661,0.3841004380517357,0.508583277949277,0.41555519753843456
PA14_54590,100.24138770722186,93.52736281608914,0.48245417690253284,0.10001787736045055,0.3165439292910086
PA14_54600,10.282961311364332,10.194383530031748,0.9446982756934164,0.012481257833005218,0.02470687733726017
PA14_54610,3.650264791968329,4.224475568123386,0.6465939687477811,-0.21077107883231444,0.1893683506860678
PA14_54620,360.2567307418519,422.1159474744721,0.17300235179393605,-0.2286139497426535,0.761947993031975
PA14_54630,399.69358108542184,441.4455566417196,0.5220273810770357,-0.14334111746597228,0.2823067170383547
PA14_54640,605.7291911745027,665.8109234952356,0.16039823297704608,-0.1364396006233298,0.794800420419345
PA14_54660,496.20181299502184,600.3098369596058,0.2214169110314941,-0.2747803018510861,0.6547892123317957
PA14_54670,80.40560330707389,124.8573181615015,0.03295880618444784,-0.634912428262074,1.482028527463284
PA14_54680,5.797468389259021,8.135361700054467,0.21182607657470198,-0.48878336932458377,0.6740205776780047
PA14_54690,17.228491235472294,20.299774150599863,0.30566725499695163,-0.2366672989425898,0.51475108314446
PA14_54700,5.979970577017929,5.49584581830004,0.5189480135883221,0.12179683359511946,0.2848761460870938
PA14_54710,13.31685720409248,16.229130831512887,0.18076910495375634,-0.2853320726703158,0.7428757923043808
PA14_54720,0.5252721322663704,1.5713999477855956,0.06708180046792167,-1.5809116264879215,1.1733952894948483
PA14_54730,0.49500007205521973,1.3279169547806138,0.04677491688215282,-1.4236624463051926,1.329986975557604
PA14_54740,0.45730851067730544,2.5643386456769606,0.010269689550672745,-2.4873445141871664,1.9884426847832082
PA14_54750,0.9215597952737739,8.874934800785285,0.018460940076951496,-3.2675854259774337,1.7337461873925901
PA14_54760,53.160760430930765,51.11579429073223,0.7562959289196616,0.0565926015118018,0.1213082373699699
PA14_54770,38.40473908133303,35.913893711710585,0.5554872121751435,0.09674226993294996,0.25532593446513996
PA14_54790,11.355524995320886,23.05935602366147,0.010808043796801241,-1.0219577515458569,1.9662529041164325
PA14_54800,9.99833919206615,9.365937272108331,0.7901790315307727,0.09426508555451714,0.10227449909307523
PA14_54810,42.38022971559925,97.61675230731542,0.016127526640316848,-1.2037373272870695,1.7924322320423116
PA14_54820,62.05615194480708,75.4922521640103,0.2102883404340082,-0.2827543436065945,0.6771848063700203
PA14_54830,299.64946502608,195.48771167845834,0.0538713761223268,0.61619787280039,1.2686419304369738
PA14_54840,9.332629638368742,12.385846111063088,0.1513934360663948,-0.40833683897801015,0.8198929540429579
PA14_54850,12.235414370462061,12.979691453546664,0.8406884376082131,-0.08519312069393953,0.07536492560232318
PA14_54860,11.130145405661894,15.133988960130912,0.12706645366144956,-0.44331982296538125,0.8959690907733208
PA14_54870,8.722311829298297,12.168322814368452,0.04799855708337075,-0.4803478110100874,1.3187718180441819
PA14_54880,17.154514265072084,18.281152345012007,0.6235454588213666,-0.0917687315869591,0.2051318793215992
PA14_54890,34.920226998848854,36.082262737614,0.7638849002186445,-0.04722687502028167,0.1169720746254607
PA14_54900,13.237530899559767,14.785498266871334,0.21822994564291917,-0.15954879937008704,0.6610856555114556
PA14_54910,11.571508217178936,13.277718807973079,0.19164784865972959,-0.19843037223198623,0.7174960515489569
PA14_54920,61.68273676451974,71.56364456034346,0.015974609524156424,-0.2143600821719099,1.7965697487299221
PA14_54930,28.268606272571347,34.21009865233591,0.05559023417832948,-0.2752214998083074,1.2550014964571756
PA14_54940,25.46648201746469,33.15401423177911,0.021489451665095645,-0.3805838696978968,1.6677746660283985
PA14_54950,12.773265795242922,10.528732472793244,0.4587234832300938,0.27879564350801833,0.3384490266519822
PA14_54960,3.6171578370733393,2.1239150695211406,0.22757609182220334,0.7681301928890343,0.6428733650145643
PA14_54970,8.086493272067221,7.304047092141814,0.2952130648277524,0.1468181237508435,0.5298644264660513
PA14_54980,10.187542706565045,10.110475996147267,0.9604812231239428,0.010955185902432135,0.017511120935934998
PA14_55000,2.098095578148427,2.73069111203548,0.28238548258090496,-0.3801855685180975,0.5491576340971009
PA14_55020,2.965871511777713,2.727111303145378,0.7471575860859538,0.1210824725077858,0.12658778968433917
PA14_55030,1.6985837252208327,2.691183999007151,0.2308786083134175,-0.663908385502099,0.6366163040763992
PA14_55040,1.3752608385443281,1.242946686903248,0.5739743547247745,0.1459407437341604,0.24110751152245957
PA14_55050,179.4932500763812,147.60426353699208,0.3661482690316583,0.2821951960037456,0.43634301465228675
PA14_55060,27.427699927620676,27.97542049537151,0.9240948758082943,-0.028526171696547118,0.03428343795224274
PA14_55070,35.47154727384818,29.02620172346741,0.5650482726456433,0.289306455290069,0.24791444837862667
PA14_55080,244.85675953346882,277.740148262116,0.49446648797425763,-0.18179771415499493,0.3058631369910512
PA14_55090,29.55894742362058,36.47073665037146,0.3459603823923756,-0.30314443389119494,0.46097363153524246
PA14_55100,11.939268717872595,14.951858993735962,0.4538416580893971,-0.32461037015139155,0.34309564276575816
PA14_55110,17.04413032531485,20.888545979081666,0.4428623460034851,-0.29343706832999455,0.3537312436666638
PA14_55117,20.654253915392488,26.40574974291648,0.2782841871290279,-0.3544131420731377,0.5555114707687813
PA14_55130,1.3193295875211368,1.2555034533597114,0.837811864236573,0.07153896279890123,0.07685349389603027
PA14_55140,1.575397828752944,1.4865290815567107,0.8303722701042593,0.08376844985280714,0.0807271623156871
PA14_55150,13.616740891732888,13.855663757365917,0.9178250858696148,-0.025094381304622024,0.037240076401807855
PA14_55160,1.4253066651378725,3.450764536912672,0.17488403490240517,-1.2756430778316477,0.7572498352912469
PA14_55170,58.851361261180976,39.963934013556475,0.036966726317224,0.5583771665253611,1.4321890077800516
PA14_55180,93.26933151682152,81.12595590385386,0.43389793103261115,0.20123920254419944,0.3626124207241241
PA14_55200,57.40690435047833,76.01663796001998,0.05867125605252893,-0.4050909525326901,1.2315746141725694
PA14_55220,19.209069932193348,21.230466174656943,0.4542617046381677,-0.14434837477002094,0.34269387371881643
