Geneid,dimA_light_mean_rpm,dimA_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_00010,307.9400484168821,306.5115364921819,0.9407909765639926,0.0067081307042354075,0.026506856709326142
PA14_00020,568.1330111769562,521.2173067322573,0.05752351284659812,0.1243437437512368,1.2401546003145096
PA14_00030,292.77539198388064,272.28558509130653,0.47245664109902313,0.10467369083158419,0.3256380419599651
PA14_00050,1351.2627776372149,1345.4894293488267,0.9085988595257868,0.006177203554748007,0.04162781264792632
PA14_00060,60.14916745215796,51.791825161771136,0.00338848622393623,0.21582036176091174,2.469994275666759
PA14_00070,31.57251738475739,25.356522473420767,0.008179762861768513,0.3163123773193128,2.0872592867098776
PA14_00080,103.07190249073703,157.33758569593385,0.059225106751818385,-0.6102122369585649,1.2274941477992223
PA14_00090,383.16992413418257,370.6992889942071,0.6781090243777868,0.04773497688825433,0.16870047592767057
PA14_00100,171.02786151234463,151.99714148741066,0.31033896682062045,0.17018717449219964,0.5081636900533475
PA14_00110,44.5457955885902,38.935004668207405,0.061885851679863435,0.19422146379582725,1.2084086278731114
PA14_00120,206.8472938419736,169.24097396187324,0.18595384738005913,0.2894871871410273,0.7305948316709997
PA14_00130,26.812775324523525,37.12283532442015,0.06577922633886589,-0.4693863213924673,1.1819112387697113
PA14_00140,12.12519589513735,11.486616551277587,0.32244399207649205,0.07805413824387761,0.4915457106240964
PA14_00150,3.3074358923759797,3.199152752595914,0.7428050795189025,0.048023288956861754,0.12912513508911314
PA14_00160,47.8125786667779,42.23980866976606,0.2580430801959609,0.1787869099019835,0.5883077826820144
PA14_00170,104.96672600939176,107.92484951052522,0.7668038505138572,-0.04009500811492239,0.11531571497404536
PA14_00180,92.34349502100639,91.40921466810364,0.9295969375949495,0.014670730297439177,0.031705315663518016
PA14_00190,83.70927534209814,84.79962992782694,0.9087602667286614,-0.018670480049002982,0.04155066965871795
PA14_00200,76.89057343179759,96.0415918737549,0.016673923133088596,-0.32085257130136025,1.7779622049352068
PA14_00210,205.88992548929556,184.4924784823272,0.0976382795675525,0.15831123636706262,1.0103798816606373
PA14_00230,3.7835087298324375,5.631597103942453,0.01508298605884197,-0.5738191420128055,1.821512670369482
PA14_00240,69.4954740128444,66.7058074948177,0.3410821111162192,0.05910665218117356,0.4671410576293752
PA14_00250,116.28549850793219,110.39597669365104,0.5157819230279008,0.07498359925530974,0.28753388295575016
PA14_00280,138.8025015369226,167.60306167428237,0.3562573482457277,-0.2720149318116045,0.4482361690335142
PA14_00290,62.4620889722687,89.43378623957999,0.08836860418224203,-0.5178391237796454,1.0537020048089192
PA14_00300,455.6911926925249,542.4627383605176,0.3171147688924862,-0.25146755438503055,0.4987835312332441
PA14_00310,284.01680173556025,343.5815491163912,0.22603407163979208,-0.27467628349316703,0.6458260917824228
PA14_00320,87.5439011272655,95.54339800440171,0.47314825916686987,-0.1261495102063702,0.32500275345008905
PA14_00340,5.196960012045989,5.895824537605066,0.026743892832566774,-0.182025576778496,1.572775376705577
PA14_00360,5.69491041286249,5.294161351315261,0.4241503991805402,0.10527095018229997,0.3724801199346872
PA14_00380,12.917049860391304,10.493336829143097,0.08358639765421098,0.29980304519547013,1.0778643912734271
PA14_00400,27.314160605911145,23.91907913065499,0.07098412272656296,0.19148722787098102,1.1488387806238076
PA14_00410,36.940014314495905,41.450449829708425,0.0373726307754652,-0.1662033258101121,1.4274463297379043
PA14_00420,3.165967645944988,2.7658756245010774,0.1509421307752076,0.19491011937778102,0.8211895235815148
PA14_00430,5.322223541254233,3.7409565919199514,0.019155988916471894,0.5086216904534353,1.7176954229092634
PA14_00440,52.10208720456044,46.29103413943696,0.21921437912396557,0.17060836937052448,0.6591309621886773
PA14_00450,65.70993023660478,54.65585068893153,0.039086684525143654,0.26573546417649063,1.4079711664442363
PA14_00460,15.098919886707582,12.338748682587015,0.306151651763433,0.2912492203581892,0.51406339309642
PA14_00470,181.66829446394274,140.04190616098478,0.28100821858265485,0.37544804817915395,0.551280978198477
PA14_00480,483.165743680111,347.26770499418336,0.17548478413722926,0.47646991963700963,0.7557605341937098
PA14_00490,45.29749243767103,39.22600908123147,0.2536021715439915,0.20762061936727894,0.5958470319987632
PA14_00510,72.26144847432386,72.60357132087283,0.9673718274464677,-0.00681434125485128,0.014406564624532518
PA14_00520,3.681647519838558,4.291144685017606,0.3332988532804792,-0.22101094276417918,0.47716618053334
PA14_00530,21.6905695506782,15.729556696878484,0.1133031076405647,0.46358988167789966,0.945758178286292
PA14_00550,60.1347370711912,57.96761943057422,0.48451062354560953,0.0529513694506927,0.3146966960195011
PA14_00560,23.716078824207628,25.46942958549518,0.09424608427122172,-0.10290114545933934,1.0257366847797644
PA14_00570,65.95393166283772,52.95452442748308,0.2232312322321629,0.316704702254058,0.6512450434388743
PA14_00580,42.306775381867375,32.60537278737384,0.2556139167495942,0.3757789963094595,0.5924155049619094
PA14_00590,25.20360901842645,24.91995255630191,0.9540004381041665,0.016329011742673965,0.020451425855466412
PA14_00600,12.378856123589307,13.312201656559127,0.6985142694661222,-0.10487117193725905,0.15582471755681793
