Geneid,wt_light_mean_rpm,wt_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_23480,18.697439795050126,13.683943122996316,0.05503661598527372,0.4503566969921303,1.2593482772453566
PA14_23490,1.0918657993726886,0.7558812992448033,0.3555235862106078,0.5305633533164613,0.44913158193470715
PA14_23500,263.0018089402917,296.96392358442563,0.12706169864549316,-0.17521495394700556,0.8959853430237914
PA14_23510,185.9428299680657,163.048728683486,0.02568885099935134,0.18955592480178515,1.5902553202490641
PA14_23520,4.943552889704017,7.705672659385179,0.02865528580126307,-0.6403725283440986,1.5427952556308526
PA14_23530,4.161502816961953,5.584855386563475,0.29885604931437665,-0.42441522162634704,0.5245379489410115
PA14_23540,21.262408402047587,32.19894390069094,0.0013872547306995337,-0.5987083258875598,2.857843785516716
PA14_23560,297.631699354296,251.9034249638527,0.016330232804631268,0.24065745084244064,1.7870076238949282
PA14_23570,11.840758092741849,5.904000997158927,0.025231149961175522,1.0039964575673692,1.5980629551735996
PA14_23580,1.274907479449053,0.7168514450109442,0.11702792901743196,0.8306455858343186,0.931710480384761
PA14_23590,14.237830487536284,8.781032062481605,0.002093296193626511,0.6972668473404408,2.6791693162592907
PA14_23610,16.927099299672417,16.005866263057374,0.4486106516173421,0.08073400311092183,0.34813041893023244
PA14_23620,99.22019781220156,68.358581053464,0.001029532199234967,0.5375113761591542,2.987360066014005
PA14_23630,50.5606712015655,44.99466801993437,0.09476565714460677,0.16826156349282173,1.0233490214681429
PA14_23640,93.47671026756149,63.49802053666094,0.000733451661012719,0.5578953362585499,3.134628503561963
PA14_23650,39.874891774595376,51.63829218818486,0.0023156438087212792,-0.3729606762557789,2.635328242787244
PA14_23670,79.62277657862991,108.1150570732279,0.0036605828382257444,-0.441314368325568,2.436449760705849
PA14_23680,57.42742920963442,48.26426255347416,0.12726648916790867,0.2507846391960571,0.8952859363727392
PA14_23690,2.665401524108716,3.9278263218582317,0.049086693076583386,-0.5593780825373867,1.3090362249171974
PA14_23700,23.36192091864716,22.368007736325467,0.6701177452432245,0.06272213618385723,0.1738488814534714
PA14_23720,90.15714708149356,113.52818172686274,0.04680027539997805,-0.3325366978762994,1.3297515912776094
PA14_23730,25.03229732268916,31.553352219753222,0.036365631376696524,-0.33400257340692097,1.4393088678468453
PA14_23750,80.41814540669968,68.86418384930414,0.007100654210979624,0.22376722760913412,2.1487016361922633
PA14_23760,37.37871500175896,38.689729147451956,0.31570276143159454,-0.0497336544793138,0.5007216193454809
PA14_23770,25.097262481087085,20.148721327407728,0.017594560592089484,0.3168417088324457,1.7546215747971756
PA14_23790,159.31853089475314,103.22400867420458,0.00030626773899314493,0.6261355131069753,3.513898747611159
PA14_23800,679.823464825115,524.8185925080575,0.021122582174567826,0.37334132769356315,1.6752529916487418
PA14_23810,78.79107935201557,60.270109991533765,0.00358970803343322,0.38658959508190277,2.444940873044324
PA14_23830,657.0975774764249,938.5791512376563,0.006784535060221646,-0.5143707899693071,2.1684799089031017
PA14_23840,59.70357309277539,66.28345365788002,0.2547446028688008,-0.15083149746730398,0.5938950083779744
PA14_23850,156.30580166703928,131.33626944544142,0.0838174050962307,0.2511059449184384,1.0766657886206732
PA14_23860,233.2817154659832,231.38667967105803,0.832047863639965,0.011767419165051982,0.07985169015540057
PA14_23880,173.73723172498674,206.26429334515925,0.07103155932138172,-0.24758713951519334,1.1485486513671064
PA14_23890,148.5721706679467,161.56812209440147,0.08464194105723073,-0.12097866978253272,1.072414385706121
PA14_23900,22.436030182914724,28.080189702411513,0.31691790174377604,-0.3237352401651573,0.49905322812130726
PA14_23920,263.60601118806727,300.51180060518453,0.09057529562965594,-0.18903837415652394,1.0429902397928048
PA14_23930,233.14979819376376,287.492571811658,0.010843572176049596,-0.30226749829906324,1.964827625474267
PA14_23950,68.41502920843705,99.70004335437993,0.022692768675557858,-0.5432808384709811,1.6441125139360362
PA14_23970,521.8546968456767,635.1805696513658,0.0026754775024515013,-0.2835186158038473,2.5725986965687206
PA14_23980,156.60226434756632,238.37024753778124,0.004999679963590902,-0.6060990991483659,2.3010577945629525
PA14_23990,315.48436917112804,370.1344541733999,0.03426580392185684,-0.2304809073468199,1.4651390745942696
PA14_24010,166.7344485182857,162.66035324859115,0.4820556962229195,0.03568955381274216,0.3169027809211876
PA14_24020,427.70304952243856,401.0486304429735,0.3545011142511058,0.0928323075201547,0.450382395424931
PA14_24040,143.20472016018104,133.15223999891444,0.28369564993911056,0.10500234620349115,0.5471473234284138
PA14_24050,61.92131694661305,52.064395880569556,0.04227603981446271,0.2501390247579161,1.373905701763816
PA14_24060,154.74783466221677,106.49377136441824,0.010510942640929706,0.5391501659582908,1.978358333886459
PA14_24070,87.63596668118286,71.12302573182681,0.022953784488727084,0.30120638312214426,1.6391457002325456
PA14_24080,277.3650163521092,268.5846379722055,0.5187879891485042,0.046409043515702714,0.28501008715023535
PA14_24100,77.81658932754236,78.69245586227534,0.7690025603420997,-0.01614758405718022,0.114072214242009
PA14_24110,47.42437152406899,35.87684082106535,0.05928257349823957,0.40257578748667366,1.227072951590382
PA14_24120,54.78911593377993,64.46733377660509,0.05398413792155118,-0.2346789893394293,1.267733829530875
PA14_24130,24.693582962828874,27.106625576630965,0.12296626176919738,-0.13450934002011042,0.9102140295147578
PA14_24140,31.295509904394972,32.20224276151097,0.5220430146124861,-0.04120548604552872,0.2822937110988945
PA14_24150,30.054818648498053,36.52040879045077,0.047542016015341484,-0.2811065908088002,1.3229224059950013
PA14_24170,40.812502894948416,65.75160542674597,0.0001043771749577716,-0.688014917970795,3.9813944618094936
PA14_24180,60.284501530602654,70.69463353450533,0.15624054939713206,-0.22981355085662977,0.806206242584236
PA14_24190,20.199300341942976,18.305301715756027,0.19184854966411666,0.14204376176332117,0.7170414796309079
PA14_24210,25.011857931664267,56.74289413084934,0.0012890011132934305,-1.1818274758404415,2.8897467075519616
PA14_24220,78.8972991867264,74.78270288532043,0.015165722480680394,0.07727129798082882,1.819136895481981
PA14_24230,39.055529696949556,48.69847267497125,0.03893102124888137,-0.3183496910278395,1.4097042036043022
PA14_24240,56.839149752493086,54.26514567040292,0.5577373943903402,0.06685911541455895,0.2535702365682517
PA14_24245,44.35764951792266,44.8420225940963,0.8261880450093684,-0.015668431762584752,0.08292109358120286
