Geneid,dimA_dark_mean_rpm,wt_dark_mean_rpm,pvals,log2_FC,-log10_pval
PA14_39410,65.51734537329844,67.26606318327067,0.7354830662708723,-0.03800192166941115,0.13342732199801358
PA14_39420,21.13516212797546,10.006214869718894,0.4934675864751109,1.0787487652642263,0.30674136878424135
PA14_39440,133.53681638872135,157.71700935972044,0.03840255661871477,-0.24010070678007428,1.415639861871015
PA14_39460,24.602817393656068,25.81644865016612,0.04218001787255968,-0.06946701683590414,1.374893240576798
PA14_39470,61.42174946259916,62.73292859016652,0.8709258806443807,-0.03047330884867399,0.060018803656910064
PA14_39480,270.17791489485165,246.03117436632306,0.2886118372045707,0.13506861938629733,0.5396858606049605
PA14_39500,6.760918585014173,8.461579432185244,0.04088126598012471,-0.3237076633955199,1.3884756637620606
PA14_39520,27.94456443076012,35.57399049214198,0.12674803730951045,-0.34825511780311164,0.897058756982783
PA14_39530,8.974373048927278,10.319831949538605,0.3357844068277804,-0.20153639601805223,0.4739394755174692
PA14_39540,9.289987820267143,9.674603267482711,0.8661719854878229,-0.058525789608555374,0.062395866721161826
PA14_39560,102.51300633921296,96.01838794711182,0.7418219723897554,0.0944243424375568,0.12970030723509562
PA14_39570,9.830448399646722,10.327663984512752,0.15382205833507756,-0.07118483131005739,0.8129813815287954
PA14_39580,12.652104743025035,12.40276918190244,0.772995134660021,0.02871513343889153,0.1118232395835576
PA14_39590,542.2066295828472,542.4081648645048,0.9986837832811543,-0.0005361423349685759,0.000572002180033498
PA14_39610,67.71393627458637,71.77889158000534,0.1904906538966454,-0.08410685690331311,0.7201263273935358
PA14_39620,0.3350858200505276,0.27753499602670034,0.6185037018676169,0.2718600374578047,0.2086576966882679
PA14_39630,0.19875626249884715,0.15111664641738728,0.5448204345319025,0.3953354245210661,0.26374661174502534
PA14_39640,1.626142971296867,1.3912340688645386,0.538267293050489,0.22508878746031544,0.2690020085908494
PA14_39650,1.114497164863129,1.3521090121290422,0.4029311241038858,-0.2788182963273611,0.3947691845736421
PA14_39660,5.542641149701563,9.793243482088963,0.0035476071634435906,-0.8212130345223161,2.450064476831933
PA14_39670,0.1220950382107066,0.28641199769522746,0.057277072840189534,-1.2300805336965972,1.2420191848663418
PA14_39690,215.29250592763012,187.76157947094893,0.0532957260205789,0.19739621778338237,1.2733076172417714
PA14_39700,12.861019678395019,9.924460030985818,0.21586334950211597,0.37394448152960674,0.6658210883751804
PA14_39710,23.100128256991354,15.689005146174585,0.007679434009133648,0.5581469595092814,2.1146707872299575
PA14_39720,2.6716079984871537,2.1560958327856174,0.3700668145121479,0.3092869051575194,0.431719858218694
PA14_39730,0.43350065953146527,0.5724839336651052,0.3762576465503999,-0.4012002041728374,0.42451466529604104
PA14_39750,1.6104201273913434,1.455173899318165,0.5779797274210213,0.14624544095137346,0.23808739414623045
PA14_39770,57.256847771797446,54.29391566462068,0.45692277951793875,0.07665771031103062,0.3401571900022226
PA14_39780,203.9904586182315,176.14961657493305,0.609848072984419,0.21170033799226753,0.21477834414091795
PA14_39790,171.36554955001816,185.2803288216392,0.12853820480286282,-0.11263261159464995,0.8909677698500387
PA14_39800,21.220079422821257,17.70916108265489,0.010855512155445083,0.26093417199525737,1.964349682017333
PA14_39810,5.26906859696854,7.749657938097837,0.10329704947510164,-0.5565845825279125,0.9859120832720782
PA14_39820,2.8924505463381625,3.824555062902965,0.21771136372505442,-0.4029995034153292,0.6621189018073984
PA14_39830,1.903543498685277,2.307797400152067,0.45906272714062724,-0.2778289048799685,0.338127967644102
PA14_39850,1.5910922137228083,2.2531798966357015,0.15176339636849684,-0.5019447853061676,0.8188329627757492
PA14_39860,1.7683748495299374,1.9390989414603388,0.7123324228299175,-0.13296222474584624,0.1473172876705139
PA14_39870,16.26497855116372,18.667470562832232,0.09180154651489768,-0.19875752465488464,1.037150002489075
PA14_39880,1218.5123553868316,1200.7450506601724,0.9581565537801221,0.02119101770027678,0.01856352548510303
PA14_39890,1529.0808535208478,1663.3684148841178,0.6314472231411146,-0.12144304809129221,0.19966294226846756
PA14_39910,2540.306538217727,2498.5260163787893,0.9342786433512205,0.023925356688658587,0.02952357856402206
PA14_39925,934.3967388626529,995.88390972949,0.7480149779886145,-0.09194233783952536,0.1260897058886411
PA14_39945,2788.797731954685,2649.110081607741,0.8694715193393894,0.0741355062804504,0.06074463930396351
PA14_39960,1676.4642241176227,1627.999847738098,0.9329478120751721,0.042321131532084534,0.030142649460023825
PA14_39970,297.48816388093354,322.3795286259241,0.7820956569123385,-0.11592786477534676,0.10674012580391878
PA14_39980,19.479804957919583,16.43840879545174,0.35740637214659016,0.24490856284809337,0.4468377087877552
PA14_39990,315.8166539029763,404.70310205204436,0.026297116746964864,-0.3577766557244081,1.5800918655606613
PA14_40010,508.1351964022089,544.4405675544892,0.177860098408467,-0.09956217222162186,0.7499214717288765
PA14_40020,675.1453825161016,811.715537695527,0.02434431790877247,-0.2657760306591182,1.6136023892267815
PA14_40030,478.70444115957025,544.5303941488813,0.08543904096288236,-0.18587738732606468,1.0683436351617934
PA14_40040,678.8493297596893,802.1031813145901,0.009913513494889939,-0.24069642973338382,2.0037723978848794
PA14_40050,145.70892616041593,170.17013033855596,0.003960864112514476,-0.2238885641890046,2.402210056913416
