Geneid,dimA_light_mean_rpm,bphP_light_mean_rpm,pvals,log2_FC,-log10_pval
PA14_59845,82.26208974519649,59.17331334923273,0.4525901388995141,0.47528103435404384,0.3442949127502283
PA14_59850,4.480743650693182,1.7925633364131048,0.09006209608609324,1.3217135405088813,1.0454579495779437
PA14_59860,1.3925363936603044,0.42408100385044945,0.0061960720325849586,1.7153005450632213,2.2078835419825023
PA14_59870,0.4992506959379548,0.35979504436915355,0.03652863991199405,0.47258783447987796,1.437366497777469
PA14_59880,2.8536926863539525,3.1828821868400294,0.6741245037710841,-0.1575037173986212,0.17125988639161244
PA14_59890,1.425667691647704,1.4503415177023724,0.8639287521193306,-0.024754893879162816,0.06352207214760865
PA14_59900,2.468615130715858,2.9221928447175785,0.4849092884091327,-0.24334935419053136,0.31433949691933405
PA14_59910,11.494912115240497,8.356375276170027,0.272431237734981,0.46004619278048214,0.5647430964724676
PA14_59920,5.107564892324341,5.093781873941662,0.9791931475665258,0.003898446026732097,0.009131634398328611
PA14_59930,3.376930943355481,2.8382735082559236,0.30402541026375196,0.2506989635395465,0.5170901167986591
PA14_59940,33.90371054523609,30.043938932875875,0.2668319640897186,0.17436919864481853,0.5737621470332583
PA14_59950,3.819014969588347,3.74680655657742,0.8544003801413838,0.027539071740073338,0.06833856708837861
PA14_59960,7.5271903972814895,6.061006875306636,0.015741442816815172,0.31255393192042086,1.8029554639296985
PA14_59970,48.92858141403312,46.18909389915074,0.8716988901899001,0.08312520849732251,0.059633506939319486
PA14_59980,1.729478173114881,1.557242777004494,0.27238234055578286,0.15134281939834243,0.5648210525881358
PA14_59990,3.276015540584023,2.2323411335895007,0.0911762113896539,0.5533844555159382,1.0401184578321447
PA14_60000,17.621534781924314,15.37931477406246,0.037301291042694036,0.19634834493566125,1.428276136475101
PA14_60010,1.4630828300487717,1.1597345064637121,0.49573258430657496,0.33521657835671825,0.3047525341522304
PA14_60020,9.510267884707241,8.139334704822463,0.3137070214818607,0.2245750741134155,0.5034757606879724
PA14_60030,79.19326211750762,45.103249362087716,0.212116644299446,0.812146300069198,0.673425252069038
PA14_60040,23.122698388237904,23.279096340985628,0.9586102313073042,-0.009725287368729066,0.018357940067168104
PA14_60050,23.714540093304347,23.62422223918759,0.9771439903765893,0.005505056135322698,0.010041434624827988
PA14_60060,9.470724338767086,6.476587773440784,0.14406285172633085,0.5482407676214321,0.8414479926083964
PA14_60070,310.81646619552197,286.67698998331736,0.5270135123773754,0.11663682343691588,0.2781782495394458
PA14_60080,309.2965384677327,267.8055956266951,0.4170300093074856,0.20780458141018895,0.3798326922499468
PA14_60090,24.88496667580093,30.71721280462556,0.12034366846531173,-0.30377284809601035,0.9195767539382733
PA14_60100,75.13169730475701,88.88715693023447,0.21690010381488356,-0.24255328486582736,0.6637402401194155
PA14_60110,217.87065760261262,222.24210953879344,0.930670830640729,-0.028660288348749514,0.03120389765939226
PA14_60120,112.27874307335897,102.09689448746042,0.5063598607061922,0.13714583305806347,0.29554072827648464
PA14_60130,39.638345272724536,32.699780877594854,0.2768797601171425,0.27761576049460157,0.5577087899774597
PA14_60140,24.779308199762102,23.35657870963105,0.6192777057144327,0.08530694356236597,0.20811455451243926
PA14_60150,14.016214498281125,24.84084665148957,0.0052786583969867415,-0.8256175356052426,2.277476442015696
PA14_60160,7.3150645137473616,12.017824469469653,0.15422324797962772,-0.7162331734784853,0.8118501547659531
PA14_60180,40.8666683864793,55.738476494883265,0.37907688610511664,-0.4477489249147684,0.42127269550770796
PA14_60190,449.51766392386054,478.80069082396693,0.4925585229217494,-0.09104742564499534,0.3075421617714054
PA14_60200,41.4332821775034,39.03020276381826,0.6059890760874798,0.08619914919226856,0.21753520460877795
PA14_60210,99.73642915064306,92.20417963533782,0.5277877194616671,0.11328840014641543,0.27754071914075235
PA14_60230,134.98192233847632,143.65119563950972,0.7111300032373685,-0.08980379497527653,0.14805099768437663
PA14_60240,11.821711788928582,12.00109598941044,0.8319003853043475,-0.02172720909132889,0.07992867455388446
PA14_60250,31.92920497255146,30.933109325696773,0.8691780173663212,0.04572477188002373,0.0608912660804944
PA14_60260,91.46173604722354,92.57469428452282,0.8077891910609986,-0.01744957649147163,0.09270196237421342
PA14_60270,172.5455643126088,156.04206915842838,0.5078855827797388,0.14504235126823886,0.2942341152046219
PA14_60280,20.28862158349368,25.718494757970046,0.19158932874946763,-0.3421353391879229,0.7176286841629302
PA14_60290,33.990375818674245,33.88143230629066,0.9749802612274918,0.004631448580789103,0.011004176636596611
PA14_60300,24.21060495715018,29.0962897296625,0.19309107122565974,-0.2651960564582452,0.71423780808016
PA14_60310,369.35184986363646,388.99350177550014,0.6771961320603547,-0.07475025136832786,0.16928553111484723
PA14_60320,42.92253837430727,46.45681360103688,0.61444237008291,-0.11415480500965579,0.2115188443132156
PA14_60330,146.72667639160227,143.27276692417476,0.6858073323726468,0.034366780796809826,0.16379787589655365
PA14_60350,76.39598403897155,91.95685866752012,0.22610006296349336,-0.2674603783100746,0.645699316713933
PA14_60360,79.7934867284739,80.65115100931055,0.9408609668748075,-0.015424133711173897,0.02647454849643522
PA14_60370,816.2163335629175,823.3305875328562,0.8219050063661106,-0.012520243479837835,0.08517837418136932
PA14_60380,69.03656155627503,69.38949407757798,0.9749990454298065,-0.007356636592144394,0.010995809496099646
PA14_60390,29.066979882790093,34.23359563053017,0.0661518354974427,-0.2360316407835328,1.1794581010554415
PA14_60400,104.47360928324115,196.12978009865773,0.0017639442463346484,-0.9086700476077673,2.753515145900269
PA14_60410,155.46360990663297,149.0736232927205,0.9023689950244955,0.06055190763294141,0.04461583525911614
PA14_60420,358.58746368500715,354.8313680776596,0.9577444479695025,0.015191498506945624,0.0187503569363201
PA14_60445,216.01291778957525,244.62370648136175,0.15973769132995977,-0.17944663172428835,0.7965925966651882
PA14_60450,90.99385307935098,176.0838806652619,0.0026401046284351766,-0.9524218419133966,2.5783788615196985
PA14_60460,198.27232164245717,374.10886492618965,0.004770500534815962,-0.915974853893593,2.3214360511267356
PA14_60470,100.72598126289104,145.80172270027697,0.1346886326584436,-0.5335719004849342,0.8706690559624701
PA14_60480,2.978387740860955,3.0905782456350224,0.8711963428983769,-0.05334518753769747,0.059883956326648155
PA14_60490,470.9790427203261,322.760957941575,0.18555828902857407,0.5451967868772418,0.7315196406201606
