Geneid,bphP_light_mean_rpm,wt_light_mean_rpm,pvals,log2_FC,-log10_pval
PA14_01840,3.9644563995012816,4.926817581175322,0.41703399590717344,-0.31353291484375356,0.37982854063032256
PA14_01860,9.630600785687154,8.437182659768103,0.5318834159042233,0.1908644408645925,0.2741835507464755
PA14_01870,11.69178175956131,12.60326401748506,0.7763037907169643,-0.10830259881813444,0.10996829315715426
PA14_01890,17.0781072560628,18.369158151879642,0.5924435452260366,-0.10513741139366511,0.22735302787473516
PA14_01900,12.710760561488568,12.718416385185003,0.9981465998033882,-0.0008686886121657273,0.0008056683219027629
PA14_01910,9.416874673488204,9.26067614643982,0.9523661837245883,0.02413079406875816,0.02119603376541824
PA14_01930,38.96310112513864,34.9242142700634,0.543257107824551,0.15788084504307964,0.2649945827823356
PA14_01940,112.72176612501625,178.86623900192708,0.000389436266336412,-0.6661149779006187,3.409563607165278
PA14_01960,83.5252169704338,132.19991486950494,0.0061272712018315785,-0.6624375101881723,2.212732896744542
PA14_01970,362.60386069768884,564.1418681043289,0.0020212609284216733,-0.6376637239462005,2.6943776189641335
PA14_01980,59.41265308735527,83.74291367451976,0.0035646514918665152,-0.4951968927555061,2.447982923752609
PA14_01990,6.238287502462817,5.826486999863728,0.40627112721662323,0.09852373214540582,0.3911840409176368
PA14_02010,4.2042987862441885,2.1417007621623236,0.05743877697188264,0.9731078993426671,1.2407948159805438
PA14_02020,88.03514789842662,46.322344642579196,0.017329464514176576,0.9263713372395279,1.7612148569128159
PA14_02030,23.200707369789722,23.13761043758841,0.9836568245568396,0.003928916163966102,0.007156390589447479
PA14_02050,41.98338829397275,42.096179435169404,0.9802910589379222,-0.003870698140191751,0.008644958467457265
PA14_02060,9.643439817178205,8.803783089317383,0.6878910296693761,0.13142423145031068,0.162480353859734
PA14_02070,0.3891573660907272,0.44170181244236023,0.7540711974969971,-0.18271857974470657,0.12258764720675248
PA14_02090,109.12273658381753,100.96063946706015,0.643226058007996,0.11215877541520886,0.1916363700123289
PA14_02100,65.68055562138203,62.50486727197029,0.6744978334938319,0.07149779306390083,0.17101944095602792
PA14_02110,43.62488597244808,39.00441051662637,0.05839539046464532,0.16151408649973467,1.2336214332776356
PA14_02130,18.492905999568556,15.002211001362113,0.34085792011511257,0.30179679024074024,0.4674266103575378
PA14_02140,23.04602904412531,17.17437971819053,0.22810415354456404,0.4242601686533562,0.6418668065906853
PA14_02150,40.67507099626285,33.22369416083388,0.18779133146874794,0.29193235862496963,0.7263244588333672
PA14_02180,14.231542829881802,12.115203261920707,0.26893855958461016,0.23227344165634675,0.5703469255035378
PA14_02190,9.523576997768659,7.768409684505663,0.14417047072299985,0.2938842169338778,0.8411236835508867
PA14_02200,50.76281071662097,48.13420140483951,0.6566053393997014,0.0767095962879966,0.18269558998560248
PA14_02220,404.2102194240731,338.83083531264805,0.07501426274109053,0.25454062308967673,1.1248561547303115
PA14_02230,39.59395386278101,28.361402072533863,0.08982201767581702,0.4813512705479912,1.046617193588248
PA14_02250,146.46049201556892,121.91513399515384,0.04728587061115934,0.2646343184982043,1.3252686104736995
PA14_02260,125.02945598824635,93.9164895613539,0.07896064293094056,0.41281762942366573,1.1025893241147247
PA14_02270,176.70938758963828,151.07513362062093,0.2062540988375564,0.2261124646663914,0.6855974120636369
PA14_02290,15.811296390708002,13.046381645049271,0.41054384773043573,0.2773059015957277,0.3866404516738685
PA14_02300,7.981008955160203,7.930684033931414,0.9739899424689733,0.009125835438007865,0.011445527672491516
PA14_02310,8.077105479073252,7.7705749837173,0.8268112962329,0.05581701680551613,0.08259359849600548
PA14_02330,1.6263738547816669,1.4100617661054746,0.3160024774198379,0.20590041192326797,0.5003095125539146
