"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mean_numerator","mean_denominator"
"PA14_00010",10058.2089734107,0.0341891978947223,0.128467150262007,0.266131830783153,0.790137681261943,0.998762371361809,10567.7453129281,10319.1346950886
"PA14_00020",17843.1781455386,0.0517463446188053,0.121710038671976,0.425160859230915,0.670719414985471,0.998762371361809,18693.5934228617,18034.5859186155
"PA14_00030",9443.87601831007,-0.221446630199566,0.267262941780631,-0.828572149674714,0.407346552753466,0.998762371361809,8757.70534730446,10210.8659069619
"PA14_00050",43695.6416143535,0.00546752657050747,0.11773379551252,0.0464397376021572,0.962959764636956,0.998762371361809,41589.0166316921,41432.264852152
"PA14_00060",1841.31863971122,-0.0906506123318631,0.120750682719828,-0.750725464154891,0.452817894811118,0.998762371361809,1877.32857749183,1999.20653798982
"PA14_00070",831.712694912223,-0.166611251505183,0.228987315514988,-0.727600352580565,0.466858264718884,0.998762371361809,774.244769257063,869.006155457208
"PA14_00080",3680.87134406033,0.22469797987398,0.312203250196519,0.719716978386812,0.471699270432773,0.998762371361809,3208.8269305946,2745.88587755947
"PA14_00090",12230.435769175,0.0409187380386879,0.0941782260214809,0.434481936720223,0.663938509052671,0.998762371361809,13064.4601275378,12697.0002593925
"PA14_00100",5592.61748132826,-0.0285964151660219,0.151857108645353,-0.188311337026744,0.850632598677289,0.998762371361809,6127.37350336122,6249.11371239665
"PA14_00110",1406.33153051195,-0.0209058646521743,0.122597637232274,-0.170524205230529,0.864597900108857,0.998762371361809,1425.012574466,1444.61028246534
"PA14_00120",6185.92719109288,-0.27679757286365,0.2895418589524,-0.955984650596425,0.339079989385618,0.998762371361809,5080.8380811339,6155.78477045658
"PA14_00130",1036.9209125602,0.391662358498566,0.24232446428843,1.61627246200113,0.106035417992007,0.998762371361809,1134.45084600519,864.601496087495
"PA14_00140",418.154648899753,0.108665690223997,0.164817667311605,0.659308507373504,0.509697680491968,0.998762371361809,448.950409990489,416.669103715325
"PA14_00150",116.05741310624,0.40870151199763,0.238588705255676,1.71299605972403,0.0867132644924556,0.998762371361809,130.052878835772,97.8748568103934
"PA14_00160",1542.30672268485,-0.259173698126178,0.292686501294549,-0.885499320876966,0.375887385729194,0.998762371361809,1299.33015775372,1555.46838034055
"PA14_00170",3617.78236315346,0.198203524367431,0.159552131176032,1.24224930689741,0.214144592596639,0.998762371361809,4263.91532439135,3715.61171510587
"PA14_00180",2876.5381858974,-0.0267649076757305,0.150842202357726,-0.177436468424512,0.859165564094709,0.998762371361809,3121.53106771388,3179.06444948827
"PA14_00190",2643.51512454176,-0.0597520971095232,0.123669560363394,-0.483159291049035,0.628982637768787,0.998762371361809,2795.04695617602,2912.64557614901
"PA14_00200",2891.6545355645,0.130746804662218,0.144796319811182,0.902970495608692,0.366541554104407,0.998762371361809,2848.24848450117,2602.40891241795
"PA14_00210",6988.87274789821,-0.0103358549391592,0.189852491773115,-0.0544415026773055,0.956583413510714,0.998762371361809,7338.27173289229,7390.92811989062
"PA14_00230",124.833407416164,0.455869276939171,0.406667108420251,1.12098880755331,0.262292626630006,0.998762371361809,114.008569118971,82.9278022941499
"PA14_00240",2351.68320382954,-0.165739108776672,0.160369072897329,-1.03348548309424,0.301376760642177,0.998762371361809,2228.51830639853,2500.40056755367
"PA14_00250",3792.01655343197,0.0825238193948208,0.124303282876446,0.663890908471397,0.506760135527035,0.998762371361809,4007.3806851267,3784.51326894573
"PA14_00280",4881.06491009153,0.336965975510643,0.256607083204881,1.31315929124841,0.189129278191485,0.998762371361809,5322.73333187825,4213.64470328658
"PA14_00290",2213.27704620171,0.170616061421726,0.308975135600012,0.552199972630156,0.580811353129061,0.998762371361809,2154.15890419853,1913.7417336918
"PA14_00300",15364.676748641,0.357055835105328,0.25860724259051,1.38068768503404,0.167375009418519,0.998762371361809,16779.7066884286,13100.5729999714
"PA14_00310",9170.51655563868,0.155266613939487,0.196296978019838,0.790978116452696,0.428956761656591,0.998762371361809,9179.70473212602,8242.65875706704
"PA14_00320",2589.72924810856,0.0819155765381498,0.175481569482435,0.466804444362741,0.640639795819113,0.998762371361809,2461.54513723681,2325.29607035154
"PA14_00340",157.335203919121,-0.353992809181854,0.391551321664483,-0.904077676655596,0.365954214486742,0.998762371361809,125.95014980589,161.373083643174
"PA14_00360",182.483368566183,0.213336323183734,0.329251479615655,0.647943400080596,0.517021558857045,0.998762371361809,208.438272437521,180.130006006387
"PA14_00380",393.254368671105,-0.018280542889935,0.336532698052935,-0.0543202577214639,0.95668001005183,0.998762371361809,393.105400381519,398.570022829436
"PA14_00400",836.543891660117,-0.0438708612895234,0.157610413328012,-0.278350017382553,0.780743684203768,0.998762371361809,818.940507910939,844.486372609861
"PA14_00410",1230.4255618892,-0.203901121956553,0.126370024320312,-1.61352443392526,0.106630619206976,0.998762371361809,1049.7427172881,1210.96560918308
"PA14_00420",91.8561479778484,-0.141766127280987,0.256732240209385,-0.552194485450546,0.580815112163585,0.998762371361809,87.0604370654765,96.1450808457263
"PA14_00430",170.30105384301,0.297889912117154,0.342431679527452,0.869925097258044,0.3843413390553,0.998762371361809,196.984730983941,160.47294149573
"PA14_00440",1552.1979304082,0.00140547723228293,0.130742817762899,0.0107499383624403,0.991422955346904,0.999289337818965,1594.20693323166,1592.52361976018
"PA14_00450",2050.41174594785,0.0921129570115042,0.151629802545621,0.607485833688864,0.543528541151321,0.998762371361809,2327.54796773244,2183.20256160764
"PA14_00460",460.464056921263,-0.244693723724173,0.191251168640766,-1.27943648900672,0.200743391310247,0.998762371361809,469.609192633449,555.732171063426
"PA14_00470",6828.41387591994,-0.14743729721896,0.701262775192746,-0.210245434998937,0.833476119943921,0.998762371361809,6554.58299257773,7260.11499953185
"PA14_00480",16912.9666081013,-0.317117826892299,0.675028529493836,-0.469784332123098,0.638509109428396,0.998762371361809,14921.3971895174,18589.9171768174
"PA14_00490",1375.13151547556,-0.0954871512794138,0.153679327463732,-0.621340246962942,0.534375778099477,0.998762371361809,1321.94409985298,1412.45559082506
"PA14_00510",2303.75656509141,-0.0284515103766355,0.155543427681268,-0.182916827800252,0.85486327898412,0.998762371361809,2263.05913938097,2307.80786196427
"PA14_00520",130.911537421312,0.169434231108886,0.27426826376857,0.617768271037936,0.536728101457977,0.998762371361809,118.231825452642,104.967811556893
"PA14_00530",650.562003757183,-0.532259900309281,0.347654969125817,-1.53100041011252,0.125769291292594,0.998762371361809,491.884320737325,711.74890062408
"PA14_00550",1836.06208008018,-0.0530115805306506,0.127956459597139,-0.414293898858671,0.678658881511557,0.998762371361809,1805.84152174813,1873.48516593968
"PA14_00560",827.049178819352,-0.0688877949058383,0.200389859910868,-0.34376886603184,0.731020116104748,0.998762371361809,792.504330636892,831.857710113961
"PA14_00570",2249.9139139643,-0.0629373352938898,0.340140236607769,-0.185033490661282,0.853202767357506,0.998762371361809,2653.01266460978,2770.96684689232
