Geneid,wt_1_light,wt_2_light,wt_3_light,wt_1_dark,wt_2_dark,wt_3_dark,dimA_1_dark,dimA_2_dark,dimA_3_dark,dimA_1_light,dimA_2_light,dimA_3_light
PA14_37340,39.75210312752544,45.861548864081925,39.93354387364278,11.676602316056917,9.377458085106724,9.143402512607011,9.378145675170078,6.792708801154824,6.9260547730186275,9.927370753905594,13.19941132193751,10.576174549802356
PA14_37350,4.759748103626085,3.5673264517798633,6.870633962104938,2.2498819096792597,1.240244456417341,1.0263002820273175,2.0745594978406534,0.7582558661754222,1.1032653620737636,1.353732375532581,1.4636970970861398,1.6211654419405073
PA14_37360,3.0856298051093236,2.454320598824546,2.5805197979736856,1.9935662490828883,2.601488371997349,2.674600734980282,2.813443702551023,3.5385273754853035,3.187211045990873,2.908017695588507,2.9273941941722796,2.701942403234179
PA14_37370,2.429112825298829,0.8276197368129282,2.322467818176317,3.018828891468374,3.297235262182687,2.239200615332329,2.72818783277675,1.8640456710145796,2.206530724147527,3.9107824182052338,1.1761851673013624,2.50894651728888
PA14_37380,5.252135838483955,4.965718420877569,3.9675491893845414,6.863563800413944,8.348962682224052,8.9879024698756,5.513212912069682,7.708934639450125,6.0373132313480955,6.492901578943305,5.750238595695549,4.94069468019964
PA14_37400,7.090383381953339,6.849266787417338,5.644887058067437,5.4680674260559226,7.562466197666713,7.464002051107764,4.97325907016595,7.4561826840583185,5.608265590541633,8.698983968700103,5.122939839801489,6.561860122140148
PA14_37410,6.335388855171272,5.821876769304737,13.57998543683652,10.053269798946566,8.288462952642718,11.973503290318705,8.326656614620706,11.215868020511452,8.121258915265205,9.902301635840175,9.357206442086394,9.99718689196646
PA14_37420,1.9695509394314834,2.2830889291391125,1.80636385858158,1.9081276955507647,2.1174905353466795,1.7727004871380938,1.8756291350340155,3.0330234647016887,2.206530724147527,3.058432403981016,2.5091950235762397,1.8527605050748654
PA14_37430,2.035202637412533,2.08331864783944,0.90318192929079,2.591636123807755,2.087240670556013,2.332500640971176,1.9040477582921067,3.664903353181207,2.8807484454148278,2.0556676813642896,1.4375596489238873,2.122954745398283
PA14_37440,3.8077984829008673,5.47941342993387,4.161088174232567,5.354149354679757,4.144231476321359,6.499901786173011,5.427957042295409,9.636168299312656,6.435714612096955,6.317417752485378,6.272987558940598,5.481083160846477
PA14_37460,2.9871522581377494,3.025092831109324,2.7740587828217116,4.699120444266808,4.174481341112026,6.251101717802752,5.683724651618229,9.604574304888681,4.014660067546195,5.239445675672397,4.521778532069682,4.245909490796566
PA14_37470,2.7245454662135518,2.054780036225201,2.967597767669738,4.442804783670437,3.539234180508022,5.193701427229152,4.291212111971763,5.5289490241957875,3.064626005760455,3.635022119485634,2.6660197125497547,3.937116073284089
PA14_37490,7.2873384758964885,5.393797595091153,6.999659952003622,10.36654449523102,11.676447809197404,14.617004016752704,9.91809951707381,17.629448888578565,11.002007360680034,9.70174869131683,9.644718371871171,10.267381132289879
PA14_37510,4.004753576844016,3.13924727756628,3.7417537070618443,4.243448158762148,3.26698539739202,6.6243018203581405,4.063863125907034,8.309220533505668,4.413061448295054,3.96092065433607,4.103579361473642,5.249488097712119
