"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mean_numerator","mean_denominator"
"gene-PA14_00010",5198.54175002586,0.0870112797603476,0.154150443588129,0.564456888575882,0.572443232142201,0.999791359383438,5206.10923887595,4901.41245127732
"gene-PA14_00020",9239.24360550887,0.0597766500170763,0.1326709488087,0.450563220914846,0.652304379406217,0.999791359383438,9121.20523613639,8750.74061173489
"gene-PA14_00030",5611.29288292946,-0.177173613350604,0.261840024045896,-0.676648323709091,0.498629111084506,0.999791359383438,5145.99167527962,5818.3567241228
"gene-PA14_00050",22483.8069952496,-0.0309487129754844,0.125948867830505,-0.245724423796596,0.805895564306189,0.999791359383438,21845.4347004317,22319.1156345266
"gene-PA14_00060",1129.82677130261,-0.0347710090031882,0.144068389937123,-0.241350715575871,0.809283307028651,0.999791359383438,1082.69365296006,1108.92178354218
"gene-PA14_00070",583.564585254394,0.0428255849781907,0.210092896631547,0.203841184851178,0.838477607608682,0.999791359383438,554.084681359942,537.788736963926
"gene-PA14_00080",2140.70064208791,0.0995533652292358,0.336535515295064,0.29581830358068,0.767368844029832,0.999791359383438,2142.7250187844,1999.88985288764
"gene-PA14_00090",6486.98291548599,0.0714511462079063,0.127714772063938,0.559458745869549,0.575848678519612,0.999791359383438,6585.8601585066,6267.30364746946
"gene-PA14_00100",3202.74158373886,0.0408126006766323,0.18004855554226,0.226675524020258,0.820676060741859,0.999791359383438,3177.21574353484,3088.33022962679
"gene-PA14_00110",729.394271725279,0.14812364512881,0.104294837521069,1.42023947349155,0.155537975405287,0.999791359383438,733.67807821742,661.519598591868
"gene-PA14_00120",3124.47095741383,-0.277707695410108,0.280521812423583,-0.98996827737151,0.322189624673755,0.999791359383438,2643.84337850659,3204.93268911283
"gene-PA14_00130",538.341762423737,-0.0129239430333895,0.236078741132433,-0.0547442051384862,0.956342251536369,0.999791359383438,522.719352533092,527.457471546202
"gene-PA14_00140",221.354116352443,-0.0327107696992953,0.174609105939711,-0.187337135272828,0.851396308618593,0.999791359383438,213.423838180328,218.34027314931
"gene-PA14_00150",66.2226471193934,-0.0042393494033045,0.222960119240937,-0.019013935845286,0.984829988222901,0.999791359383438,66.3797480211075,66.2628145482299
"gene-PA14_00160",897.675652083953,-0.155417821028924,0.286706835895314,-0.542079230666382,0.587763925824,0.999791359383438,804.180383138917,895.779336249211
"gene-PA14_00170",1929.85655764595,0.162400918830568,0.20018081480992,0.811271144963491,0.417209976868642,0.999791359383438,2061.61511881698,1841.88562275179
"gene-PA14_00180",1746.32185762894,0.0129297790394104,0.179821749574125,0.071903310194858,0.942678855716292,0.999791359383438,1779.57977257842,1763.66490605327
"gene-PA14_00190",1496.8198547145,0.00871613762752791,0.156833632821134,0.0555756917106454,0.955679829772743,0.999791359383438,1504.81978280629,1496.21184092365
"gene-PA14_00200",1481.88755593845,-0.0423853964529645,0.165629076294421,-0.255905529398839,0.798023784918532,0.999791359383438,1491.10017601606,1536.02887825198
"gene-PA14_00210",3531.37841370541,0.063694230829693,0.19375529074871,0.328735440377217,0.742355664221618,0.999791359383438,3559.89719514781,3405.99503414733
"gene-PA14_00230",68.2791451648312,0.138444896928336,0.406411646505964,0.340651893513844,0.733365658096808,0.999791359383438,75.8972161797007,68.9833565757968
"gene-PA14_00240",1193.3784904023,-0.202421159001161,0.137000487413669,-1.47752145136504,0.139535912439174,0.999791359383438,1039.04302493171,1195.73505676944
"gene-PA14_00250",1922.05491076907,-0.0110505845452262,0.107986450217681,-0.102333066074033,0.918492310135254,0.999791359383438,1791.92348527795,1805.51897801608
"gene-PA14_00280",2603.57608099959,0.027536636039734,0.285263515677135,0.0965305218733276,0.923099234158224,0.999791359383438,2811.54384464558,2758.30111393601
"gene-PA14_00290",1302.71467979588,-0.0420289563299581,0.312580217663427,-0.134458145317478,0.893040305685833,0.999791359383438,1410.09474764978,1452.03387370745
"gene-PA14_00300",8438.5087370397,0.159117727446818,0.244380370689353,0.651106825797732,0.514977530596733,0.999791359383438,8226.42884866918,7367.36051232712
"gene-PA14_00310",5805.67180754472,0.126089959611403,0.197204932229784,0.639385426042402,0.522572227551965,0.999791359383438,5674.18673729638,5199.68929153942
"gene-PA14_00320",1637.03678615294,0.0655155122489032,0.160891313508856,0.407203538961082,0.683858502580408,0.999791359383438,1559.66360073125,1490.59384336647
"gene-PA14_00340",86.7740879989036,-0.484967502326766,0.364676035683389,-1.32985843563303,0.183564918238669,0.999791359383438,78.8986824212084,110.618018675619
"gene-PA14_00360",107.372733383139,-0.168548890832871,0.310604339159762,-0.542648216985072,0.587372034007757,0.999791359383438,100.926798038161,113.285160678761
"gene-PA14_00380",207.169301929292,-0.307589488383461,0.33517631429112,-0.917694584219045,0.358778783811895,0.999791359383438,178.82849117318,221.203114578826
"gene-PA14_00400",485.531323005192,-0.0681885529620842,0.125856135127332,-0.541797607983876,0.587957939410392,0.999791359383438,464.927304595085,486.863793573019
"gene-PA14_00410",698.665917312762,-0.145486199823933,0.146902062023214,-0.990361863000552,0.321997279052004,0.999791359383438,654.975028814026,725.781751840042
"gene-PA14_00420",63.2361519361735,-0.2304469508908,0.252328048301523,-0.913283134562291,0.361093650144212,0.999791359383438,56.2805816424865,65.9901926373904
"gene-PA14_00430",107.177642567574,-0.035791816139659,0.345038413597259,-0.103732844602736,0.917381361027549,0.999791359383438,103.979222680704,106.366784954591
"gene-PA14_00440",944.875076532017,-0.1367645055401,0.118675218885259,-1.15242682360106,0.249145723746709,0.999791359383438,863.692378932678,948.843498900615
