"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mean_numerator","mean_denominator"
"gene-PA14_00010",5198.54175002586,-0.0346375942990885,0.154129062932282,-0.224731102882957,0.822188466835259,0.999620652618089,5158.89588583946,5284.99495611731
"gene-PA14_00020",9239.24360550887,-0.0523566171131385,0.132643868459239,-0.394715697915789,0.693052716284437,0.999620652618089,9268.64029404968,9611.37440033422
"gene-PA14_00030",5611.29288292946,-0.111414963888058,0.261846232796846,-0.425497677388772,0.670473914397056,0.999620652618089,5217.12739303004,5636.55584034411
"gene-PA14_00050",22483.8069952496,-0.177990424749369,0.125939582231439,-1.41330010466666,0.157567503242827,0.999620652618089,21706.6593159809,24558.3547362957
"gene-PA14_00060",1129.82677130261,-0.139571420646352,0.143958060482028,-0.96952834859689,0.332281643049207,0.999620652618089,1077.12194754172,1186.84438427627
"gene-PA14_00070",583.564585254394,-0.251985509251052,0.209568787935987,-1.20239999349532,0.229208591717753,0.999620652618089,551.267186174871,657.036767842216
"gene-PA14_00080",2140.70064208791,0.0728023177041643,0.336375744271395,0.216431532130408,0.828651389594436,0.999620652618089,2541.23770040763,2416.39150943502
"gene-PA14_00090",6486.98291548599,0.0132343868554912,0.127721516637016,0.103619086305585,0.917471640516486,0.999620652618089,6468.68223553969,6409.77981415614
"gene-PA14_00100",3202.74158373886,-0.0625470910868094,0.180076703223915,-0.347335829493923,0.728339036285492,0.999620652618089,3025.51848076556,3159.82241446084
"gene-PA14_00110",729.394271725279,-0.0871357516738589,0.103722656749239,-0.840084070392833,0.4008612509567,0.999620652618089,723.325711664991,768.249484918904
"gene-PA14_00120",3124.47095741383,-0.43993053473966,0.280438387897784,-1.56872437485274,0.116712176451724,0.999620652618089,2773.56811710886,3762.90288005502
"gene-PA14_00130",538.341762423737,0.13767765250801,0.235405603774669,0.584852910467651,0.558646623825094,0.999620652618089,630.213625162376,572.473667777964
"gene-PA14_00140",221.354116352443,0.0330462356398875,0.173700235044985,0.190248652405848,0.849114288140296,0.999620652618089,230.836480927605,225.860310005106
"gene-PA14_00150",66.2226471193934,0.098355383802824,0.220424839972064,0.446208257723083,0.655446818527846,0.999620652618089,72.7166171582911,68.0548174662841
"gene-PA14_00160",897.675652083953,-0.324787320295624,0.286439369759224,-1.13387807188877,0.256845696417153,0.999620652618089,839.370220378686,1052.00109718964
"gene-PA14_00170",1929.85655764595,0.0950489757824597,0.200259402303053,0.474629279271601,0.635051233211282,0.999620652618089,1954.00170786456,1829.531435976
"gene-PA14_00180",1746.32185762894,0.112853277882822,0.179979766786536,0.627033137656361,0.53063751362569,0.999620652618089,1740.51055643266,1608.92090325108
"gene-PA14_00190",1496.8198547145,0.160880374607133,0.157020572098357,1.02458150837941,0.305560693371225,0.999620652618089,1513.28042933479,1353.06478713004
"gene-PA14_00200",1481.88755593845,0.013823481041104,0.165676248963802,0.0834367094110412,0.933504300372393,0.999620652618089,1508.26706857834,1495.43068539175
